Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,unknown,25-34,inactive,ad,18,27,1.5,7-day click or 1-day view,,,0.25968862,,09/05/2024,30/04/2025,,,9.61809714,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,male,45-54,inactive,ad,18,23,1.27777778,7-day click or 1-day view,,,0.2998373,,09/05/2024,30/04/2025,,,13.03640436,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,unknown,35-44,inactive,ad,15,21,1.4,7-day click or 1-day view,,,0.33959281,,09/05/2024,30/04/2025,,,16.1710864,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,unknown,18-24,inactive,ad,9,20,2.22222222,7-day click or 1-day view,,,0.07995436,,09/05/2024,30/04/2025,,,3.99771787,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,18-24,active,ad,15,20,1.33333333,7-day click or 1-day view,,,0.15,,09/05/2024,30/04/2025,,,7.5,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,25-34,active,ad,17,19,1.11764706,7-day click or 1-day view,,,0.12,,09/05/2024,30/04/2025,,,6.31578947,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,18-24,active,ad,12,18,1.5,7-day click or 1-day view,,,0.06,,09/05/2024,30/04/2025,,,3.33333333,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,18-24,active,ad,14,18,1.28571429,7-day click or 1-day view,,,0.16,,09/05/2024,30/04/2025,,,8.88888889,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,35-44,active,ad,13,16,1.23076923,7-day click or 1-day view,,,0.28,,09/05/2024,30/04/2025,,,17.5,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,unknown,18-24,inactive,ad,9,16,1.77777778,7-day click or 1-day view,,,0.1,,09/05/2024,30/04/2025,,,6.25,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,25-34,active,ad,13,14,1.07692308,7-day click or 1-day view,,,0.15,,09/05/2024,30/04/2025,,,10.71428571,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,male,45-54,inactive,ad,9,12,1.33333333,7-day click or 1-day view,,,0.26,,09/05/2024,30/04/2025,,,21.66666667,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,18-24,active,ad,12,12,1,7-day click or 1-day view,,,0.15,,09/05/2024,30/04/2025,,,12.5,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,18-24,active,ad,7,11,1.57142857,7-day click or 1-day view,,,0.08,,09/05/2024,30/04/2025,,,7.27272727,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,male,45-54,inactive,ad,9,10,1.11111111,7-day click or 1-day view,,,0.15990871,,09/05/2024,30/04/2025,,,15.99087149,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,45-54,active,ad,6,8,1.33333333,7-day click or 1-day view,,,0.11,,09/05/2024,30/04/2025,,,13.75,12.5,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,45-54,inactive,ad,4,7,1.75,7-day click or 1-day view,,,0.06999236,,09/05/2024,30/04/2025,,,9.99890854,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,unknown,18-24,inactive,ad,6,7,1.16666667,7-day click or 1-day view,,,0.01997605,,09/05/2024,30/04/2025,,,2.85372113,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,male,18-24,inactive,ad,6,6,1,7-day click or 1-day view,,,0.05992814,,09/05/2024,30/04/2025,,,9.98802395,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,25-34,active,ad,5,5,1,7-day click or 1-day view,,,0.05,,09/05/2024,30/04/2025,,,10,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,45-54,active,ad,4,5,1.25,7-day click or 1-day view,,,0.17,,09/05/2024,30/04/2025,,,34,0,01/02/2025,28/02/2025
